Name N E Z
p318 6165404.101 444657.373 137.846
p319 6165398.129 444660.679 138.246
p320 6165392.262 444664.016 138.346
p321 6165385.963 444667.571 138.146
p322 6165379.958 444670.804 137.847
p323 6165373.584 444674.368 137.847
p324 6165377.402 444680.041 137.947
p325 6165389.709 444673.392 137.846
p326 6165396.025 444669.969 138.146
p327 6165401.668 444666.937 138.246
p328 6165407.679 444663.518 138.246
p329 6165413.487 444660.345 137.846
p330 6165419.422 444656.817 138.246
p331 6165425.714 444653.220 138.446
p332 6165431.365 444649.811 138.646
p333 6165435.775 444645.696 139.546
p334 6165438.402 444650.103 139.546
p335 6165433.368 444655.782 138.746
p336 6165429.297 444658.963 138.646
p337 6165424.636 444661.844 138.446
p338 6165419.949 444666.448 137.546
p339 6165411.112 444669.202 138.046
p340 6165404.952 444672.551 138.246
p341 6165398.938 444676.145 138.146
p342 6165392.669 444679.647 137.646
p343 6165386.301 444683.137 137.547
p344 6165380.477 444686.362 137.847
p345 6165380.109 444695.181 137.747
p346 6165386.132 444691.070 137.747
p347 6165392.221 444687.679 137.246
p348 6165398.569 444684.525 138.046
p349 6165404.534 444680.615 138.146
p350 6165412.246 444677.759 137.546
p351 6165418.329 444673.839 137.546
p352 6165422.729 444673.611 137.646
p353 6165431.347 444669.120 138.346
p354 6165436.753 444666.131 138.646
p355 6165440.990 444662.393 138.946
p356 6165448.905 444661.119 139.346
p357 6165449.874 444663.676 139.346
p358 6165442.867 444667.407 138.946
p359 6165437.100 444670.592 138.646
p360 6165432.141 444674.808 138.546
p361 6165426.452 444677.848 137.846
p362 6165419.565 444680.651 137.846
p363 6165413.528 444684.086 137.846
p364 6165407.365 444687.535 137.746
p365 6165401.270 444691.012 137.946
p366 6165395.231 444694.281 137.746
p367 6165389.098 444697.381 137.647
p368 6165383.064 444701.037 137.647
p369 6165387.045 444706.875 138.047
p370 6165393.586 444703.226 137.847
p371 6165399.592 444699.852 138.146
p372 6165405.543 444696.520 138.146
p373 6165411.449 444693.180 138.046
p374 6165417.714 444689.728 137.946
p375 6165424.155 444686.087 138.146
p376 6165430.222 444682.680 138.246
p377 6165436.676 444679.177 138.446
p378 6165443.091 444675.703 138.646
p379 6165449.379 444671.983 138.846
p380 6165455.316 444668.280 139.346
p381 6165459.227 444674.511 139.146
p382 6165453.220 444677.864 138.746
p383 6165446.792 444681.364 138.546
p384 6165440.121 444685.017 138.546
p385 6165433.778 444688.236 138.446
p386 6165427.819 444692.398 138.346
p387 6165421.471 444695.760 138.146
p388 6165415.150 444699.354 138.246
p389 6165409.331 444702.513 138.246
p390 6165403.268 444705.853 138.246
p391 6165397.246 444709.239 138.047
p392 6165391.016 444712.667 138.047
p393 6165394.804 444718.627 138.447
p394 6165400.933 444715.263 138.347
p395 6165406.728 444711.964 138.446
p396 6165412.708 444708.695 138.546
p397 6165418.771 444705.312 138.346
p398 6165424.824 444701.810 138.246
p399 6165430.805 444698.459 138.446
p400 6165436.558 444694.672 138.546
p401 6165443.368 444691.450 138.346
p402 6165449.852 444687.950 138.346
p403 6165457.010 444684.006 138.746
p404 6165463.218 444680.599 139.046
p405 6165469.958 444684.454 139.146
p406 6165464.073 444688.049 138.846
p407 6165457.555 444691.696 138.646
p408 6165451.544 444695.055 138.446
p409 6165445.452 444698.417 138.446
p410 6165439.424 444701.684 138.446
p411 6165432.805 444704.976 138.546
