B L 84H Name
55°36'31.22052" 86°07'15.48720" 105.000 p262
55°36'31.40436" 86°07'15.29592" 104.900 p263
55°36'31.62300" 86°07'15.06400" 104.900 p264
55°36'31.83810" 86°07'14.85405" 104.800 p265
55°36'32.03388" 86°07'14.65032" 104.900 p266
55°36'32.23440" 86°07'14.44950" 105.400 p267
55°36'32.41920" 86°07'14.26968" 106.200 p268
55°36'32.51295" 86°07'14.65320" 106.000 p269
55°36'32.33352" 86°07'14.81472" 105.000 p270
55°36'32.13225" 86°07'15.00825" 104.800 p271
55°36'31.95120" 86°07'15.18420" 105.000 p272
55°36'31.76040" 86°07'15.37035" 104.800 p273
55°36'31.56240" 86°07'15.56880" 104.700 p274
55°36'31.36392" 86°07'15.75840" 105.000 p275
55°36'31.17160" 86°07'15.96680" 105.100 p276
55°36'30.97872" 86°07'16.14156" 105.000 p277
55°36'30.78165" 86°07'16.34550" 105.400 krest
55°36'30.59085" 86°07'16.53240" 105.400 p278
55°36'30.38940" 86°07'16.73100" 106.000 p279
55°36'30.65415" 86°07'16.97115" 106.500 krest2
55°36'31.03908" 86°07'16.56840" 106.000 krest3
55°36'30.84420" 86°07'16.76880" 106.300 p280
55°36'31.14492" 86°07'16.22268" 105.800 p281
55°36'31.30260" 86°07'16.15440" 105.500 p282
55°36'31.45272" 86°07'16.14996" 105.300 p283
55°36'31.64112" 86°07'15.94908" 104.900 p284
55°36'31.86336" 86°07'15.73164" 104.900 p285
55°36'32.06736" 86°07'15.53724" 104.900 p286
55°36'32.27232" 86°07'15.33252" 104.900 p287
55°36'32.48145" 86°07'15.12300" 105.100 p288
55°36'32.65440" 86°07'14.94504" 105.700 p289
55°36'32.75844" 86°07'15.29592" 105.700 p290
55°36'32.56896" 86°07'15.49776" 105.000 p291
55°36'32.37240" 86°07'15.68580" 104.800 p292
55°36'32.17416" 86°07'15.89292" 104.700 p293
55°36'31.97730" 86°07'16.07460" 104.700 p294
55°36'31.79160" 86°07'16.26825" 104.800 p295
55°36'31.65456" 86°07'16.39692" 105.000 p296
55°36'31.49070" 86°07'16.56120" 105.600 p297
55°36'31.31064" 86°07'16.72188" 105.600 p298
55°36'31.14744" 86°07'16.91256" 105.900 p299
55°36'30.96660" 86°07'17.10936" 106.100 p300
55°36'30.76776" 86°07'17.25132" 106.100 p301
55°36'30.96336" 86°07'17.57076" 104.700 p302
55°36'31.11912" 86°07'17.41380" 104.800 p303
55°36'31.29840" 86°07'17.24445" 105.300 p304
55°36'31.48245" 86°07'17.05785" 105.300 p305
55°36'31.67320" 86°07'16.83960" 105.000 p306
55°36'31.91100" 86°07'16.61172" 104.800 p307
55°36'32.09808" 86°07'16.42716" 104.700 p308
55°36'32.29380" 86°07'16.22892" 104.800 p309
55°36'32.49408" 86°07'16.02468" 105.100 p310
55°36'32.67960" 86°07'15.83175" 105.200 p311
55°36'32.87000" 86°07'15.64060" 105.900 p312
55°36'32.97264" 86°07'15.99936" 106.100 p313
55°36'32.79660" 86°07'16.18812" 105.300 p314
55°36'32.60970" 86°07'16.37745" 105.000 p315
55°36'32.41365" 86°07'16.57065" 104.900 p316
55°36'32.21670" 86°07'16.77210" 104.600 p317
55°36'32.02788" 86°07'16.95684" 104.400 p318
55°36'31.83615" 86°07'17.14995" 104.800 p319
55°36'31.64784" 86°07'17.34480" 104.900 p320
55°36'31.44564" 86°07'17.55240" 104.700 p321
55°36'31.25280" 86°07'17.74140" 104.400 p322
55°36'31.04820" 86°07'17.94960" 104.400 p323
55°36'31.17396" 86°07'18.27084" 104.500 p324
55°36'31.36788" 86°07'18.07728" 104.200 krest4
55°36'31.56912" 86°07'17.88216" 104.400 p325
55°36'31.77192" 86°07'17.68212" 104.700 p326
55°36'31.95315" 86°07'17.50485" 104.800 p327
55°36'32.14608" 86°07'17.30520" 104.800 p328
55°36'32.33256" 86°07'17.11980" 104.400 p329
55°36'32.52300" 86°07'16.91400" 104.800 p330
55°36'32.72496" 86°07'16.70400" 105.000 p331
55°36'32.90628" 86°07'16.50516" 105.200 p332
55°36'33.04716" 86°07'16.26696" 106.100 p333
55°36'33.13392" 86°07'16.51680" 106.100 p334
55°36'32.97348" 86°07'16.84476" 105.300 p335
55°36'32.84316" 86°07'17.02944" 105.200 p336
55°36'32.69364" 86°07'17.19732" 105.000 p337
55°36'32.54400" 86°07'17.46372" 104.100 p338
55°36'32.25940" 86°07'17.62740" 104.600 p339
55°36'32.06160" 86°07'17.82312" 104.800 p340
55°36'31.86864" 86°07'18.03276" 104.700 p341
55°36'31.66740" 86°07'18.23730" 104.200 p342
55°36'31.46292" 86°07'18.44124" 104.100 p343
55°36'31.27596" 86°07'18.62964" 104.400 p344
55°36'31.26768" 86°07'19.13364" 104.300 p345
55°36'31.46070" 86°07'18.89445" 104.300 p346
55°36'31.65620" 86°07'18.69640" 103.800 p347
55°36'31.86015" 86°07'18.51165" 104.600 p348
55°36'32.05140" 86°07'18.28400" 104.700 p349
55°36'32.29956" 86°07'18.11532" 104.100 p350
55°36'32.49465" 86°07'17.88705" 104.100 p351
55°36'32.63680" 86°07'17.87080" 104.200 p352
55°36'32.91360" 86°07'17.60808" 104.900 p353
55°36'33.08715" 86°07'17.43345" 105.200 p354
55°36'33.22260" 86°07'17.21688" 105.500 p355
55°36'33.47800" 86°07'17.13840" 105.900 p356
55°36'33.51036" 86°07'17.28372" 105.900 p357
55°36'33.28536" 86°07'17.50188" 105.500 p358
55°36'33.10020" 86°07'17.68800" 105.200 p359
55°36'32.94160" 86°07'17.93240" 105.100 p360
55°36'32.75892" 86°07'18.11016" 104.400 p361
55°36'32.53740" 86°07'18.27520" 104.400 p362
55°36'32.34360" 86°07'18.47580" 104.400 p363
55°36'32.14575" 86°07'18.67725" 104.300 p364
55°36'31.95012" 86°07'18.88020" 104.500 p365
55°36'31.75620" 86°07'19.07130" 104.300 p366
55°36'31.55920" 86°07'19.25280" 104.200 p367
55°36'31.36560" 86°07'19.46600" 104.200 p368
55°36'31.49670" 86°07'19.79655" 104.600 p369
55°36'31.70670" 86°07'19.58340" 104.400 p370
55°36'31.89948" 86°07'19.38636" 104.700 p371
55°36'32.09052" 86°07'19.19172" 104.700 p372
55°36'32.28012" 86°07'18.99672" 104.600 p373
55°36'32.48124" 86°07'18.79500" 104.500 p374
55°36'32.68800" 86°07'18.58236" 104.700 p375
55°36'32.88276" 86°07'18.38340" 104.800 p376
55°36'33.09000" 86°07'18.17868" 105.000 p377
55°36'33.29600" 86°07'17.97560" 105.200 p378
55°36'33.49776" 86°07'17.75856" 105.400 p379
55°36'33.68820" 86°07'17.54280" 105.900 p380
55°36'33.81720" 86°07'17.89584" 105.700 p381
55°36'33.62436" 86°07'18.09168" 105.300 p382
55°36'33.41796" 86°07'18.29628" 105.100 p383
55°36'33.20376" 86°07'18.50976" 105.100 p384
55°36'33.00000" 86°07'18.69820" 105.000 p385
55°36'32.80905" 86°07'18.94020" 104.900 p386
55°36'32.60520" 86°07'19.13680" 104.700 p387
55°36'32.40228" 86°07'19.34664" 104.800 p388
55°36'32.21544" 86°07'19.53132" 104.800 p389
55°36'32.02080" 86°07'19.72644" 104.800 p390
55°36'31.82748" 86°07'19.92420" 104.600 p391
55°36'31.62744" 86°07'20.12448" 104.600 p392
55°36'31.75236" 86°07'20.46216" 105.000 p393
55°36'31.94916" 86°07'20.26560" 104.900 p394
55°36'32.13516" 86°07'20.07300" 105.000 p395
55°36'32.32716" 86°07'19.88196" 105.100 p396
55°36'32.52180" 86°07'19.68435" 104.900 p397
55°36'32.71608" 86°07'19.47996" 104.800 p398
55°36'32.90808" 86°07'19.28424" 105.000 p399
55°36'33.09252" 86°07'19.06380" 105.100 p400
55°36'33.31140" 86°07'18.87480" 104.900 p401
55°36'33.51960" 86°07'18.67020" 104.900 p402
55°36'33.74940" 86°07'18.43980" 105.300 p403
